0.3768,0.3161,0.2551,0.1935,0.1153,0.0941,0.0768,0.0471,0.0277,0.0091,-0.0141,-0.0376,-0.0656,-0.0987,-0.133,-0.213,-0.277,-0.337,-0.399
0.4059,0.326,0.2691,0.2004,0.1372,0.1079,0.0793,0.0482,0.0215,0.004,-0.0148,-0.0362,-0.0641,-0.0964,-0.1277,-0.189,-0.25,-0.315,-0.394
0.4429,0.3885,0.3247,0.2524,0.1575,0.1218,0.0822,0.0496,0.0223,0.0062,-0.0062,-0.0368,-0.073,-0.1109,-0.148,-0.242,-0.315,-0.378,-0.432
0.555,0.479,0.377,0.283,0.1845,0.1461,0.1067,0.0674,0.0337,0.0012,-0.0408,-0.0751,-0.1165,-0.1563,-0.206,-0.3029,-0.3989,-0.5001,-0.5782
0.618,0.522,0.417,0.305,0.1976,0.1515,0.11,0.0688,0.0333,-0.0038,-0.0432,-0.0802,-0.1229,-0.1712,-0.2172,-0.3236,-0.4353,-0.5407,-0.6438
0.647,0.544,0.422,0.305,0.1954,0.1533,0.1059,0.0693,0.0257,-0.0074,-0.0457,-0.0893,-0.1307,-0.1779,-0.2247,-0.3331,-0.4504,-0.558,-0.6588
0.62,0.513,0.417,0.301,0.1961,0.1542,0.1076,0.0693,0.029,-0.0055,-0.0438,-0.0841,-0.1259,-0.1723,-0.2226,-0.3259,-0.4402,-0.5368,-0.6426
0.59,0.468,0.377,0.289,0.1852,0.1488,0.1084,0.0667,0.0313,0.0015,-0.0368,-0.0755,-0.1185,-0.1627,-0.2041,-0.3076,-0.3951,-0.4853,-0.6085
0.563,0.448,0.323,0.241,0.1661,0.1351,0.0963,0.055,0.0179,-0.0153,-0.0401,-0.0711,-0.1137,-0.1519,-0.1882,-0.2632,-0.3433,-0.4695,-0.5851
0.489,0.408,0.289,0.218,0.1528,0.1294,0.0914,0.0539,0.0228,-0.0115,-0.045,-0.0792,-0.1143,-0.1484,-0.1807,-0.2452,-0.3159,-0.4356,-0.5145
0.361,0.302,0.215,0.127,0.0786,0.0916,0.077,0.0489,0.0156,-0.0141,-0.0447,-0.0788,-0.1047,-0.13,-0.1494,-0.1982,-0.2884,-0.3741,-0.433
0.3,0.266,0.182,0.118,0.0565,0.0289,0.0359,0.0271,-0.0028,-0.0292,-0.0506,-0.0805,-0.1098,-0.1263,-0.1314,-0.1924,-0.2574,-0.3433,-0.378
0.3625,0.304,0.218,0.129,-0.0097,-0.0314,-0.0542,-0.0485,-0.0722,-0.0845,-0.1165,-0.1329,-0.1509,-0.1803,-0.192,-0.2384,-0.242,-0.2652,-0.3087
0.139,0.065,0.02,0.065,0.0538,0.0368,0.0214,0.0154,0.0035,-0.0244,-0.1112,-0.1292,-0.1609,-0.1785,-0.2074,-0.2184,-0.175,-0.2195,-0.2906
0.118,0.085,0.073,0.137,0.068,0.0599,0.0369,0.0213,0.0116,-0.0186,-0.0364,-0.0977,-0.1246,-0.1363,-0.1694,-0.2387,-0.1751,-0.1865,-0.2194
0.143,0.105,0.149,0.142,0.0799,0.0621,0.0358,0.0155,0.0119,-0.0305,-0.0392,-0.1023,-0.137,-0.153,-0.1773,-0.2395,-0.2458,-0.2014,-0.2412
0.181,0.129,0.166,0.146,0.0807,0.0628,0.0365,0.0123,0.0051,-0.0423,-0.0471,-0.0994,-0.1263,-0.147,-0.1665,-0.2308,-0.25,-0.2142,-0.2522
0.232,0.199,0.145,0.118,0.0785,0.0652,0.0476,0.0275,0.0082,-0.0289,-0.0402,-0.0589,-0.0766,-0.1004,-0.1148,-0.1555,-0.1823,-0.2367,-0.271
0.309,0.263,0.22,0.167,0.1131,0.0906,0.0788,0.0533,0.0247,0.0035,-0.0168,-0.0326,-0.062,-0.0769,-0.0992,-0.1519,-0.204,-0.246,-0.2919
0.309,0.251,0.201,0.158,0.1101,0.0855,0.067,0.0458,0.0215,0.0012,-0.0251,-0.0406,-0.0599,-0.0824,-0.1056,-0.1535,-0.1974,-0.2462,-0.3035
