1.183,1.246,1.279,1.29,1.369,1.364,1.297,1.277,1.276,1.256,1.281,1.28,1.312,1.315,1.306,1.227,1.216,1.183,1.12
0.96,1.018,1.055,1.093,1.058,1.039,1.031,1.019,1.025,1.035,1.033,1.042,1.043,1.056,1.056,1.091,1.053,1.016,0.958
0.709,0.71,0.702,0.704,0.701,0.71,0.73,0.729,0.729,0.725,0.729,0.728,0.728,0.723,0.711,0.714,0.712,0.72,0.719
0.222,0.216,0.231,0.227,0.24,0.243,0.244,0.249,0.249,0.248,0.248,0.242,0.239,0.235,0.229,0.216,0.22,0.205,0.211
-0.066,-0.084,-0.09,-0.105,-0.104,-0.099,-0.107,-0.099,-0.099,-0.1,-0.101,-0.104,-0.104,-0.104,-0.106,-0.107,-0.092,-0.086,-0.068
-0.317,-0.347,-0.39,-0.414,-0.42,-0.417,-0.417,-0.421,-0.424,-0.428,-0.421,-0.428,-0.422,-0.423,-0.425,-0.419,-0.395,-0.352,-0.322
-0.569,-0.619,-0.679,-0.703,-0.728,-0.765,-0.772,-0.774,-0.772,-0.774,-0.77,-0.767,-0.761,-0.754,-0.756,-0.731,-0.707,-0.645,-0.597
-0.853,-0.929,-1.018,-1.07,-1.098,-1.116,-1.1144,-1.151,-1.142,-1.139,-1.135,-1.118,-1.112,-1.107,-1.099,-1.071,-1.019,-0.93,-0.854
-1.106,-1.168,-1.228,-1.314,-1.348,-1.359,-1.362,-1.352,-1.357,-1.355,-1.371,-1.376,-1.37,-1.379,-1.399,-1.365,-1.279,-1.219,-1.157
-1.314,-1.407,-1.465,-1.506,-1.564,-1.598,-1.628,-1.647,-1.646,-1.65,-1.642,-1.641,-1.618,-1.599,-1.585,-1.527,-1.486,-1.428,-1.335
-1.496,-1.51,-1.589,-1.692,-1.775,-1.814,-1.846,-1.875,-1.879,-1.883,-1.891,-1.876,-1.843,-1.838,-1.811,-1.728,-1.625,-1.546,-1.532
-1.594,-1.694,-1.807,-1.875,-1.957,-1.976,-2.032,-2.06,-2.07,-2.077,-2.038,-2.039,-2.028,-2.005,-1.986,-1.904,-1.836,-1.713,-1.623
-1.683,-1.755,-1.912,-1.999,-2.111,-2.149,-2.147,-2.204,-2.207,-2.204,-2.205,-2.195,-2.193,-2.174,-2.133,-2.021,-1.934,-1.777,-1.705
-1.664,-1.783,-1.859,-1.962,-2.03,-2.129,-1.917,-2.143,-2.05,-2.208,-2.201,-2.182,-2.077,-2.209,-2.126,-2.058,-1.955,-1.879,-1.76
